Age,Gender,Education,Income,Employment Experience,Home Ownership,Loan Amount,Loan Intent,Loan Interest Rate,Loan Percent Income,Credit History Length,Credit Score,Previous Loan Defaults,Loan_Status
23,1,1,84954,4,3,15000,4,13.43,0.18,4,709,1,0
24,1,3,124153,2,0,21000,0,13.49,0.17,3,558,1,0
24,0,4,181158,6,0,25000,1,11.01,0.14,2,621,1,0
28,0,3,102905,7,0,9073,4,7.59,0.09,10,641,1,0
23,1,3,29158,2,3,3000,1,13.23,0.1,2,690,0,0
40,0,1,73127,16,3,6500,0,11.11,0.09,13,680,0,0
22,1,3,55124,0,3,8300,1,10.99,0.15,4,528,1,0
29,1,1,61089,8,3,6000,2,9.99,0.1,7,621,1,0
22,0,1,26475,0,3,4800,3,10.75,0.18,3,686,0,0
23,0,0,90598,1,3,12000,0,11.58,0.13,3,677,1,0
23,1,1,91008,0,3,5000,1,6.33,0.05,3,620,1,0
22,0,3,48988,0,3,3600,4,6.17,0.07,2,622,1,0
24,1,0,77576,0,0,10000,0,11.01,0.13,4,672,1,0
30,0,1,41719,6,3,2420,1,12.34,0.06,5,606,0,0
30,1,0,123810,7,0,25000,4,12.18,0.2,7,637,0,0
24,1,3,116330,0,0,2000,3,10.38,0.02,3,645,1,0
26,0,1,130590,3,3,2000,1,16.29,0.02,4,628,1,0
27,1,0,75325,4,3,10400,1,13.49,0.14,10,684,1,0
25,0,1,175032,0,0,7019,2,10.94,0.04,3,565,0,0
33,0,3,62179,12,3,6468,1,9.63,0.1,8,646,1,0
39,1,4,92329,15,0,5000,2,6.03,0.05,14,650,0,0
26,0,0,30209,2,3,5400,1,11.49,0.18,3,602,1,0
40,0,0,115262,15,0,5000,3,10.65,0.04,16,583,1,0
27,0,4,78896,1,3,7000,5,15.85,0.09,7,623,0,0
26,1,0,150504,2,0,10000,5,10.75,0.07,5,595,1,0
25,0,1,76600,1,3,1500,0,12.42,0.02,4,690,0,0
25,0,0,81583,1,0,15000,2,11.01,0.18,4,566,1,0
22,0,1,91325,1,0,25000,3,9.25,0.27,2,657,1,0
30,1,1,74954,8,3,6000,5,15.96,0.08,9,693,1,0
22,1,0,100959,0,3,10400,5,12.21,0.1,3,669,0,0
32,1,4,54390,7,3,12000,4,11.01,0.22,8,687,1,0
23,1,1,57354,1,3,8800,1,14.96,0.15,3,514,1,0
35,0,0,68994,14,0,12000,3,12.33,0.17,11,675,0,0
25,1,0,35579,0,3,6800,1,9.63,0.19,3,661,1,0
28,0,1,63922,7,3,8000,4,7.51,0.13,6,595,0,0
27,1,4,58243,2,3,9000,0,10.7,0.15,7,617,1,0
40,1,1,51337,20,3,7000,0,13.56,0.14,14,724,0,0
26,1,3,42015,3,3,3500,3,12.84,0.08,4,630,0,0
22,1,0,65834,0,2,25000,4,11.01,0.38,3,690,1,0
29,1,1,145031,8,2,5000,4,14.09,0.03,5,630,0,0
