Age,Gender,Education,Income,Employment Experience,Home Ownership,Loan Amount,Loan Intent,Loan Interest Rate,Loan Percent Income,Credit History Length,Credit Score,Previous Loan Defaults,Loan_Status
27,0,0,78921,5,0,22000,2,14.09,0.28,6,589,1,0
22,0,1,39854,4,0,6250,2,7.51,0.16,4,652,0,1
32,0,0,122423,8,3,15000,1,17.58,0.12,8,672,0,1
26,1,1,142602,4,3,15000,1,17.58,0.11,4,658,0,1
49,1,0,106720,26,3,12000,5,6.62,0.11,17,712,0,0
28,0,4,138178,9,0,12000,4,7.29,0.09,6,621,0,0
32,0,1,91266,11,0,2000,1,15.65,0.02,10,632,0,0
24,1,1,24132,0,3,6000,1,10.59,0.25,3,653,0,1
27,1,1,78799,5,3,16000,5,15.12,0.2,5,599,0,1
28,1,1,16938,6,2,6700,4,9.63,0.4,5,635,0,1
22,0,4,47824,3,3,6600,3,11.01,0.14,2,647,0,0
24,1,4,109957,1,0,1000,4,7.68,0.01,4,700,1,0
36,1,3,97124,15,0,17000,5,11.36,0.18,12,674,0,0
31,1,0,51582,6,3,6000,5,13.44,0.12,10,647,1,0
27,1,3,78865,1,0,18000,4,7.51,0.23,5,600,0,0
23,1,3,73047,0,3,10000,0,7.14,0.14,2,547,1,0
25,1,0,76086,2,0,10000,3,16.05,0.13,3,547,0,1
30,0,3,72859,10,0,1500,3,12.9,0.02,10,660,1,0
27,0,1,69459,6,3,25475,2,15.99,0.37,7,577,0,1
24,0,3,67032,2,3,23600,4,11.89,0.35,3,624,0,1
27,0,3,28839,8,3,6250,3,10.38,0.22,6,677,0,0
22,0,0,52798,0,3,4800,4,11.03,0.09,4,601,0,0
25,0,0,51407,0,0,3023,0,11.62,0.06,4,638,0,1
23,1,4,130687,1,3,10000,0,11.07,0.08,3,621,0,1
35,1,4,39108,13,0,8000,0,13.92,0.2,5,680,0,1
29,1,3,229971,5,0,14317,1,12.04,0.06,6,551,1,0
24,0,3,100960,0,0,10000,1,11.74,0.1,3,539,0,0
28,0,1,58458,2,3,7000,2,12.68,0.12,10,638,0,1
25,1,0,82807,1,0,15000,3,15.75,0.18,4,605,0,1
22,0,0,65908,1,0,4000,3,13.98,0.06,4,587,0,0
24,0,4,70387,0,0,6500,5,11.01,0.09,2,573,1,0
24,1,1,66902,1,3,20000,0,11.92,0.3,3,633,0,1
40,1,0,210613,18,0,11699,4,8.73,0.06,15,615,1,0
29,1,1,68728,5,3,7000,1,11.01,0.1,9,663,0,1
31,1,4,92092,6,0,12000,1,15.96,0.13,5,651,0,1
29,1,4,156929,8,0,18000,0,13.22,0.11,8,733,0,0
37,1,0,89513,13,0,10000,4,16.29,0.11,14,590,0,1
25,0,0,85328,0,3,7000,2,7.29,0.08,4,629,1,0
30,0,0,47994,8,3,3000,4,14.53,0.06,10,679,0,1
28,0,0,47704,4,3,12000,3,8.46,0.25,4,609,0,1
25,1,1,85044,2,3,8000,1,15.96,0.09,3,643,1,0
28,1,3,65761,8,2,6500,0,16.45,0.1,6,581,0,1
22,0,3,129354,0,0,17400,3,13.47,0.13,4,526,1,0
24,1,0,35018,0,3,1500,1,11.46,0.04,4,660,0,0
31,0,1,74516,11,0,2013,4,7.74,0.03,8,735,1,0
28,0,1,48597,5,3,2813,0,16.58,0.06,7,643,0,1
36,1,1,41073,12,3,13475,3,15.68,0.33,15,669,0,1
24,0,3,34285,2,3,7000,4,15.62,0.2,4,590,0,1
35,0,1,112675,16,0,6000,0,14.1,0.05,9,671,1,0
22,1,3,65733,1,0,8600,0,19.42,0.13,2,583,0,1
27,1,3,64342,3,0,6000,1,7.93,0.09,6,517,1,0
23,1,3,63320,1,3,3000,0,6.0,0.05,2,663,1,0
43,0,3,95598,19,0,4000,2,8.88,0.04,12,638,0,0
44,0,0,60734,21,0,4000,2,10.62,0.07,14,590,0,0
26,0,3,43739,2,3,1400,0,11.49,0.03,4,650,0,1
31,1,3,38457,1,3,4801,0,14.16,0.12,9,594,0,1
32,1,3,61125,14,0,5000,3,8.59,0.08,9,616,1,0
29,0,0,97040,9,2,24000,5,12.87,0.25,9,540,1,0
25,0,4,67070,4,3,4000,1,9.36,0.06,4,709,1,0
27,1,1,101442,4,0,20000,0,13.76,0.2,7,560,0,1
22,1,1,102624,0,0,6000,5,11.01,0.06,4,678,1,0
35,1,0,75105,13,0,9475,1,6.03,0.13,5,601,1,0
24,0,0,104473,0,0,8000,1,11.1,0.08,2,674,0,0
29,1,1,80813,4,3,2668,0,12.63,0.03,5,675,0,1
23,0,1,201823,0,0,20000,1,12.21,0.1,2,678,0,0
26,1,3,77966,2,0,3237,1,7.21,0.04,6,669,0,0
26,0,3,23885,2,3,8500,0,9.99,0.36,2,637,0,1
23,1,0,30792,0,3,6000,2,13.23,0.19,4,601,0,1
29,0,1,152322,8,0,11000,2,6.91,0.07,7,609,0,0
34,0,1,37163,11,3,3596,3,7.13,0.1,6,637,0,1
22,0,3,70461,2,3,11200,0,13.16,0.16,3,661,0,1
22,1,3,18729,0,3,3000,1,9.91,0.16,3,561,0,1
24,1,0,116011,0,0,35000,2,7.9,0.3,4,604,0,0
27,0,0,29567,0,3,10000,3,7.68,0.34,9,595,0,1
30,1,1,20078,5,3,2317,0,12.26,0.12,7,672,1,0
35,1,4,56285,16,3,12918,3,17.23,0.23,9,689,0,1
28,0,4,181032,6,0,10000,1,10.5,0.06,10,631,0,0
23,0,0,41998,0,3,1500,1,6.99,0.04,4,642,1,0
25,1,4,55019,2,0,7500,5,10.39,0.14,3,678,0,0
23,0,0,101803,3,0,23000,1,11.99,0.23,2,705,0,0
27,0,4,58351,6,3,2800,3,7.49,0.05,5,591,1,0
33,1,0,64846,9,3,1200,3,16.29,0.02,7,545,0,1
30,1,1,114923,8,0,10000,0,7.51,0.09,9,654,1,0
23,1,3,34552,0,3,3321,2,14.01,0.1,3,500,0,1
28,0,4,61027,7,3,7200,4,11.01,0.12,9,559,1,0
27,0,0,25049,3,3,8000,5,11.89,0.32,6,554,0,1
24,0,0,120709,4,1,25000,3,11.01,0.21,3,681,1,0
24,1,3,74194,1,0,25000,0,17.49,0.34,3,583,0,1
24,1,1,115263,3,0,25000,4,10.08,0.22,4,541,1,0
33,0,1,150927,12,3,9100,4,7.88,0.06,8,658,1,0
25,0,3,36721,4,2,10000,1,14.61,0.27,3,578,1,0
31,1,1,109299,10,0,18000,3,9.96,0.16,9,708,1,0
37,1,3,29849,15,3,8000,0,12.72,0.27,11,665,0,1
24,0,1,35733,0,3,2500,4,10.99,0.07,3,603,1,0
38,0,0,36921,16,3,2200,0,11.01,0.06,11,692,1,0
27,0,0,48363,3,0,7200,1,13.79,0.15,7,635,0,0
25,1,4,67139,1,3,9000,5,14.2,0.13,2,650,1,0
40,1,0,138034,18,0,35000,0,8.9,0.25,14,598,1,0
25,1,0,41698,3,3,9600,4,15.82,0.23,5,652,0,1
23,1,3,70148,2,3,4000,0,7.75,0.06,2,654,1,0
27,1,4,61514,1,3,1500,0,12.21,0.02,5,697,1,0
24,1,0,24149,0,3,5000,0,11.01,0.21,3,683,0,1
22,1,0,76332,1,2,9000,1,11.01,0.12,4,678,1,0
28,0,1,83984,6,0,18000,4,17.39,0.21,7,678,0,1
22,1,4,24934,3,3,10000,1,10.95,0.4,2,654,0,1
22,1,1,54854,0,0,5000,0,12.61,0.09,2,557,1,0
28,1,1,163807,9,0,12500,2,8.59,0.08,6,693,0,0
29,1,3,63254,5,3,10636,0,9.74,0.17,4,520,1,0
29,1,1,87637,7,0,7400,3,5.42,0.08,8,618,1,0
23,0,3,56321,2,3,5000,5,7.14,0.09,4,681,1,0
32,0,4,95181,12,3,15000,1,11.01,0.16,7,620,0,1
